,City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Lng,Wind Speed
116,grand gaube,40,MU,1579466477,88,81.0,-20.01,57.66,3.36
117,ostrovnoy,0,RU,1579466477,82,5.47,68.05,39.51,10.98
118,srednekolymsk,99,RU,1579466477,99,-29.38,67.45,153.68,4.61
119,necochea,0,AR,1579466477,38,95.0,-38.55,-58.74,11.01
120,sydney,20,AU,1579466206,94,71.6,-33.87,151.21,9.17
121,vallenar,100,CL,1579466342,60,70.57,-28.57,-70.76,11.59
122,coquimbo,20,CL,1579466259,68,69.8,-29.95,-71.34,13.87
123,sampit,100,ID,1579466477,97,74.84,-2.53,112.95,1.01
124,atyrau,19,KZ,1579466269,92,23.0,47.12,51.88,4.47
125,korsakov,40,RU,1579466478,92,14.0,46.63,142.78,4.47
126,shimoda,0,JP,1579466478,76,41.0,34.67,138.95,33.82
127,zhigansk,98,RU,1579466478,95,-12.73,66.77,123.37,12.44
128,mahebourg,40,MU,1579466469,88,81.0,-20.41,57.7,3.36
129,saint-francois,3,FR,1579466478,80,37.0,46.42,3.91,8.05
130,thompson,20,CA,1579466180,70,1.4,55.74,-97.86,10.29
131,cape town,20,ZA,1579466329,68,70.0,-33.93,18.42,19.46
132,bambous virieux,40,MU,1579466478,88,81.0,-20.34,57.76,3.36
133,coahuayana,40,MX,1579466478,48,84.2,18.73,-103.68,9.17
134,kloulklubed,75,PW,1579466479,83,77.0,7.04,134.26,5.82
135,muli,100,MV,1579466479,79,81.95,2.92,73.57,12.15
136,trinidad,75,BO,1579466454,94,80.6,-14.83,-64.9,11.41
137,can,40,TR,1579466479,93,46.0,40.03,27.05,12.75
138,olafsvik,100,IS,1579466479,69,38.73,64.89,-23.71,33.55
139,victoria,40,HK,1579466479,67,60.8,22.29,114.16,5.82
140,jose bonifacio,40,BR,1579466479,46,91.4,-21.05,-49.69,10.29
141,vardo,64,NO,1579466480,85,17.6,70.37,31.11,47.2
142,linqiong,16,CN,1579466480,87,44.6,30.42,103.46,2.24
143,verdun,66,FR,1579466480,89,39.0,49.25,5.33,1.01
144,kaitangata,87,NZ,1579466480,96,64.99,-46.28,169.85,3.0
145,sao francisco do sul,40,BR,1579466405,74,78.8,-26.24,-48.64,6.93
146,nikolskoye,90,RU,1579466480,82,37.4,59.7,30.79,13.42
147,lavrentiya,100,RU,1579466480,96,5.94,65.58,-171.0,8.08
148,khatanga,100,RU,1579466480,98,-22.92,71.97,102.5,5.19
149,waitati,72,NZ,1579466480,65,64.99,-45.75,170.57,3.0
150,graz,68,AT,1579466481,59,35.6,47.07,15.45,5.82
151,sorong,4,ID,1579466481,93,73.13,-0.88,131.25,3.94
152,graneros,75,CL,1579466481,44,78.8,-34.07,-70.73,10.29
153,fairbanks,27,US,1579466197,66,-13.0,64.84,-147.72,1.86
154,cap malheureux,40,MU,1579466481,88,81.0,-19.98,57.61,3.36
155,watsa,0,CD,1579466481,54,66.63,3.04,29.54,0.74
156,west plains,1,US,1579466481,37,42.01,36.73,-91.85,11.41
157,yulara,0,AU,1579466481,31,75.2,-25.24,130.99,10.29
158,yokadouma,65,CM,1579466481,37,70.75,3.52,15.05,1.77
159,point fortin,40,TT,1579466482,88,78.8,10.18,-61.68,10.29
160,namibe,14,AO,1579466482,85,75.51,-15.2,12.15,8.68
161,kedougou,94,SN,1579466482,15,78.39,12.56,-12.17,2.95
162,lebu,0,CL,1579466482,43,67.24,-37.62,-73.65,10.98
163,cherskiy,100,RU,1579466482,97,-22.45,68.75,161.3,7.11
164,seryshevo,52,RU,1579466482,100,-18.13,51.09,128.38,2.1
165,codrington,100,AU,1579466482,89,59.99,-38.27,141.97,26.24
166,east london,100,ZA,1579466482,78,66.67,-33.02,27.91,20.02
167,portland,40,US,1579466202,70,55.0,45.52,-122.68,10.29
168,laguna,90,US,1579466483,93,57.99,38.42,-121.42,2.98
169,alugan,15,PH,1579466483,85,78.06,12.22,125.48,19.26
170,bonavista,49,CA,1579466483,81,15.01,48.65,-53.11,1.99
171,mar del plata,0,AR,1579466446,31,91.4,-38.0,-57.56,16.11
172,gadwal,29,IN,1579466483,74,71.69,16.23,77.8,7.4
173,grindavik,75,IS,1579466483,75,41.0,63.84,-22.43,28.86
174,turayf,0,SA,1579466483,87,46.4,31.67,38.66,6.93
175,gaurnadi,0,BD,1579466483,64,62.87,22.97,90.23,7.38
176,costinesti,90,RO,1579466483,80,35.6,43.95,28.63,13.87
177,kodiak,75,US,1579466484,63,30.2,57.79,-152.41,14.99
178,new norfolk,75,AU,1579466484,72,60.01,-42.78,147.06,10.29
179,gushikawa,90,JP,1579466484,77,62.6,26.35,127.87,5.82
180,bandarbeyla,45,SO,1579466484,75,76.75,9.49,50.81,19.26
181,brae,100,GB,1579466484,93,48.2,60.4,-1.35,36.91
182,zhezkazgan,69,KZ,1579466484,89,9.81,47.8,67.71,6.96
183,port augusta,75,AU,1579466484,77,60.8,-32.5,137.77,11.41
184,alanya,75,TR,1579466484,93,48.2,36.54,32.0,9.17
185,wuwei,67,CN,1579466485,61,16.68,37.93,102.64,2.64
186,esso,46,RU,1579466485,92,-10.73,55.93,158.7,4.14
187,northam,7,GB,1579466485,77,37.0,51.03,-4.22,2.24
188,plettenberg bay,92,ZA,1579466485,83,65.55,-34.05,23.37,22.41
189,christchurch,100,NZ,1579466425,93,64.0,-43.53,172.63,4.7
190,klaksvik,100,FO,1579466485,93,48.2,62.23,-6.59,14.99
191,manado,20,ID,1579466485,100,75.2,1.49,124.85,2.24
192,khor,100,RU,1579466485,97,-0.35,47.89,134.95,3.51
193,bathsheba,40,BB,1579466485,65,82.4,13.22,-59.52,20.8
194,yellowknife,20,CA,1579466425,75,-13.0,62.46,-114.35,13.87
195,walvis bay,0,NA,1579466486,82,66.0,-22.96,14.51,3.36
196,dikson,81,RU,1579466486,92,-24.11,73.51,80.55,7.94
197,lagoa,97,PT,1579466486,78,63.09,39.05,-27.98,26.66
198,willmar,75,US,1579466486,77,7.0,45.12,-95.04,13.87
199,nueva londres,68,PY,1579466486,27,101.03,-25.4,-56.55,4.27
200,fortuna,1,US,1579466260,71,55.0,40.6,-124.16,4.7
201,provideniya,90,RU,1579466486,78,17.6,64.38,-173.3,11.18
202,abu kamal,99,SY,1579466487,59,55.33,34.45,40.92,7.99
203,waipawa,76,NZ,1579466487,93,68.0,-41.41,175.52,9.17
204,san policarpo,15,PH,1579466487,85,78.06,12.18,125.51,19.26
205,salalah,75,OM,1579466216,60,75.2,17.02,54.09,1.12
206,dauriya,78,RU,1579466487,94,-6.48,49.93,116.87,8.52
207,saldanha,86,ZA,1579466487,60,69.8,-33.01,17.94,5.82
208,englehart,1,CA,1579466487,66,10.4,47.82,-79.87,13.87
209,chokurdakh,100,RU,1579466487,97,-24.74,70.63,147.92,3.02
210,bento goncalves,10,BR,1579466487,35,91.99,-29.17,-51.52,6.93
211,pitimbu,20,BR,1579466456,66,84.2,-7.47,-34.81,14.99
212,half moon bay,90,US,1579466488,54,57.99,37.46,-122.43,8.05
213,ajdabiya,48,LY,1579466488,63,59.92,30.76,20.23,5.68
214,razole,0,IN,1579466488,88,67.48,16.48,81.83,1.88
215,chumikan,0,RU,1579466488,89,-8.55,54.72,135.31,5.06
216,turkistan,100,KZ,1579466488,97,31.17,43.0,68.0,7.54
217,beira,75,MZ,1579466488,100,77.0,-19.84,34.84,5.82
218,antofagasta,40,CL,1579466188,69,75.2,-23.65,-70.4,16.11
219,cassilandia,31,BR,1579466488,83,82.62,-19.11,-51.73,3.29
220,falkenstein,100,DE,1579466489,93,37.99,50.48,12.37,6.93
221,bengkulu,100,ID,1579466489,92,73.0,-3.8,102.27,3.67
222,damara,34,CF,1579466489,65,77.0,4.96,18.7,3.42
223,sulangan,33,PH,1579466196,82,79.83,11.14,123.72,15.61
224,kodino,100,RU,1579466489,95,24.51,63.72,39.64,3.89
225,bethel,75,US,1579466489,44,42.8,41.37,-73.41,12.75
226,bac lieu,0,VN,1579466489,80,73.09,9.29,105.72,7.02
227,chara,100,RU,1579466489,80,-7.01,56.91,118.26,0.58
228,morena,0,IN,1579466404,59,48.18,26.5,78.0,2.77
229,roma,90,US,1579466393,79,24.01,43.21,-75.46,17.22
230,sola,42,VU,1579466490,79,81.97,-13.88,167.55,12.06
231,hofn,35,IS,1579466490,75,45.45,64.25,-15.21,39.97
232,torbay,75,CA,1579466221,72,15.01,47.67,-52.73,3.36
233,pyshma,100,RU,1579466490,94,12.65,56.95,63.25,7.0
234,piacabucu,10,BR,1579466490,75,80.1,-10.41,-36.43,8.84
235,matara,63,LK,1579466490,90,74.89,5.95,80.54,9.66
236,kruisfontein,100,ZA,1579466490,83,61.74,-34.0,24.73,23.89
237,honningsvag,40,NO,1579466490,74,28.4,70.98,25.97,20.8
238,sayyan,0,YE,1579466491,18,48.94,15.17,44.32,0.92
239,la ronge,5,CA,1579466491,76,-7.6,55.1,-105.28,3.36
240,isangel,75,VU,1579466491,94,75.2,-19.55,169.27,14.65
241,severo-kurilsk,0,RU,1579466491,85,10.36,50.68,156.12,5.35
242,marzuq,0,YE,1579466491,78,55.85,14.4,46.47,2.82
243,valreas,98,FR,1579466491,65,41.0,44.38,4.99,23.04
244,enshi,13,CN,1579466491,92,32.9,30.3,109.48,1.12
245,tupik,84,RU,1579466491,96,-19.08,54.43,119.93,1.81
246,marsh harbour,92,BS,1579466491,67,74.64,26.54,-77.06,11.95
247,san vicente,97,AR,1579466491,59,88.0,-26.62,-54.13,2.91
248,kuytun,87,RU,1579466492,95,-9.53,54.34,101.5,6.6
249,gat,40,IL,1579466403,82,55.4,31.61,34.76,5.82
250,te anau,28,NZ,1579466492,93,56.68,-45.42,167.72,1.61
251,maxixe,100,MZ,1579466492,82,80.28,-23.86,35.35,14.27
252,chhapar,67,IN,1579466492,44,52.02,27.82,74.4,3.89
253,fort nelson,75,CA,1579466492,68,-14.8,58.81,-122.7,2.24
254,taoudenni,0,ML,1579466492,18,65.75,22.68,-3.98,7.34
255,sayat,100,TM,1579466492,59,32.0,38.78,63.88,4.7
256,yinchuan,0,CN,1579466224,65,20.21,38.47,106.27,8.39
257,paso de carrasco,20,UY,1579466493,48,91.4,-34.86,-56.05,14.99
258,vila franca do campo,40,PT,1579466272,88,62.6,37.72,-25.43,14.99
259,bayshore gardens,40,US,1579466493,73,78.01,27.43,-82.59,12.75
260,broken hill,0,AU,1579466493,76,57.2,-31.95,141.43,11.41
261,quatre cocos,40,MU,1579466493,88,81.0,-20.21,57.76,3.36
262,jieshi,66,CN,1579466493,69,57.99,22.81,115.83,1.01
263,beisfjord,75,NO,1579466493,92,35.01,68.38,17.6,16.11
